backend,model,payload_bytes,warmup,samples,min_ns,p50_ns,p95_ns,p99_ns,max_ns,total_ns,throughput_msg_s
intra,spsc_one_way,64,2000,10000,120,140,151,161,130615,1625143,3.46371e+06
pipe,spsc_one_way,64,2000,10000,4538,6181,61816,81541,715810,112836776,43941.9
shm,spsc_one_way,64,2000,10000,5169,515325,1043755,2787259,17757559,6268203954,1373.09
mutex_cv_queue,spsc_one_way,64,2000,10000,2525,7845,63098,117711,2586490,203205819,23939.4
intra,spsc_one_way,1024,2000,10000,140,160,200,221,261890,2118331,2.97917e+06
pipe,spsc_one_way,1024,2000,10000,4238,6242,11021,83095,2847912,99806470,49505.1
shm,spsc_one_way,1024,2000,10000,4318,537976,1365544,4508931,30632775,7048037137,1298.6
mutex_cv_queue,spsc_one_way,1024,2000,10000,2605,15148,79347,140923,4265813,359296647,13890.7
intra,spsc_one_way,65536,2000,10000,140,180,191,210,61836,1822024,3.37403e+06
pipe,spsc_one_way,65536,2000,10000,27621,39153,129142,263563,3691219,515253034,16393.8
shm,spsc_one_way,65536,2000,10000,11682,528269,1548458,3896494,25599873,6957134335,1256.1
mutex_cv_queue,spsc_one_way,65536,2000,10000,3026,12673,79148,152364,2582133,346440750,13667.1
